Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_sum,Segment,KMeans_Cluster,DBSCAN_Cluster,BGNBD_repeat_freq,BGNBD_recency_days,BGNBD_age_days,BGNBD_avg_order_value,predicted_purchases_6m,expected_avg_value,CLV_6m,CLV_Bucket,gross_vs_net_gap
12385,379.0,1.0,1923.4,2,1,4,214,7,Hibernating/Lost,0,2,0.0,0.0,380.0,0.0,0.26689108588693405,470.98914615257866,125.70280465762161,Low,-1923.4
12386,338.0,2.0,660.8,2,2,3,223,7,Hibernating/Lost,0,3,1.0,29.0,367.0,143.0,0.3821255023479369,156.32641340630886,59.73630925313703,Low,-517.8
12387,415.0,1.0,143.94,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,416.0,0.0,0.24715144864408414,470.98914615257866,116.40564976725008,Low,-143.94
12388,16.0,8.0,3901.11,5,4,5,545,14,Champions,1,1,7.0,567.0,583.0,491.3557142857143,2.086365439277033,493.75904959361424,1030.1618164023914,High,-461.6199999999999
12389,403.0,3.0,1433.33,2,3,4,234,9,At Risk,0,0,2.0,253.0,656.0,634.24,0.5075923265965577,643.4272055946215,326.5987122832956,Medium,-164.8499999999999
12390,80.0,1.0,549.84,3,1,2,312,6,Potential Loyalists,0,2,0.0,0.0,80.0,0.0,0.8024299461987893,470.98914615257866,377.93579520742736,Medium,-549.84
12391,22.0,6.0,2747.82,4,4,4,444,12,Champions,3,1,4.0,641.0,663.0,515.2574999999999,1.1225957880679258,519.5301054303533,583.2223081306,Medium,-686.7900000000004
12392,591.0,1.0,234.75000000000003,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,592.0,0.0,0.1815424447981936,470.98914615257866,85.50452106595284,Low,-234.75000000000003
12393,72.0,6.0,2376.75,3,4,4,344,11,Loyal Customers,3,1,5.0,356.0,429.0,419.13,1.9731276406770253,422.34665505083,833.3438590282776,Medium,-281.0999999999999
12394,64.0,2.0,1272.48,3,2,4,324,9,Potential Loyalists,3,3,1.0,154.0,218.0,891.4,0.9518472397942157,912.5635664828873,868.6211118935015,High,-381.08000000000004
12395,19.0,15.0,5046.92,4,5,5,455,14,Champions,1,1,13.0,583.0,603.0,303.2176923076923,3.6229144685413246,304.3608112482028,1102.6731867280891,High,-1105.0900000000001
12396,674.0,1.0,931.43,1,1,3,113,5,Hibernating/Lost,0,2,0.0,0.0,675.0,0.0,0.16135144760907524,470.98914615257866,75.99478053988088,Low,-931.43
12397,36.0,2.0,2409.9,4,2,4,424,10,New Customers,3,-1,1.0,100.0,136.0,1195.09,1.3432407792732035,1219.4337709428369,1637.9931687533174,High,-1214.8100000000002
12398,46.0,1.0,1635.6599999999999,4,1,4,414,9,New Customers,3,2,0.0,0.0,46.0,0.0,1.04112876043265,470.98914615257866,490.3603459110665,Medium,-1635.6599999999999
12399,119.0,7.0,1962.3,3,4,4,344,11,Loyal Customers,3,1,6.0,525.0,645.0,292.72,1.6107636559010168,295.18090192995066,475.46666874484686,Medium,-205.9799999999998
12400,414.0,1.0,205.25,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,415.0,0.0,0.24766020398417288,470.98914615257866,116.64526801047904,Low,-205.25
12401,303.0,1.0,84.3,2,1,1,211,4,Hibernating/Lost,0,2,0.0,0.0,304.0,0.0,0.3210482511012561,470.98914615257866,151.21024165995928,Low,-84.3
12402,323.0,6.0,1244.15,2,4,4,244,10,Can't Lose Them,0,1,5.0,347.0,671.0,213.04000000000002,0.9908597879221597,215.82861114513722,213.85589186680494,Low,-178.95000000000005
12403,50.0,2.0,1001.36,4,2,3,423,9,New Customers,3,3,1.0,472.0,522.0,427.7,0.4729754436132303,444.0077569136604,210.00476579395385,Low,-573.6600000000001
12404,682.0,1.0,63.24,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,683.0,0.0,0.15964028714830325,470.98914615257866,75.18884253553182,Low,-63.24
12405,149.0,1.0,1710.39,3,1,4,314,8,Potential Loyalists,0,2,0.0,0.0,149.0,0.0,0.5484161300551158,470.98914615257866,258.2980448309605,Low,-1710.39
12406,22.0,5.0,6072.21,4,4,5,445,13,Champions,1,-1,4.0,675.0,698.0,1377.29,1.0714562318227867,1383.8017937237848,1482.6830554928997,High,-563.0500000000002
12407,50.0,5.0,1708.1200000000001,4,4,4,444,12,Champions,3,1,4.0,215.0,265.0,370.45500000000004,2.415133724385416,374.3514710469517,904.1088624987838,High,-226.29999999999995
12408,33.0,8.0,4279.64,4,4,5,445,13,Champions,1,1,6.0,466.0,499.0,691.1116666666667,2.07093803616053,694.2618714684079,1437.773316679919,High,-132.97000000000025
12409,79.0,7.0,23090.47,3,4,5,345,12,Loyal Customers,1,-1,3.0,487.0,566.0,5432.926666666666,0.9993327343081041,5455.675146183572,5452.034761332395,High,-6791.690000000002
12410,309.0,3.0,1001.46,2,3,3,233,8,At Risk,0,0,1.0,194.0,503.0,693.3299999999999,0.4259813873172864,712.4194017182188,303.477405095678,Medium,-308.1300000000001
12411,410.0,1.0,346.9,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,410.0,0.0,0.25023577369087,470.98914615257866,117.85833338749278,Low,-346.9
12412,75.0,6.0,2581.03,3,4,4,344,11,Loyal Customers,3,1,5.0,465.0,540.0,385.21,1.622110438177807,388.3562040377721,629.9566523007803,Medium,-654.9800000000002
12413,67.0,4.0,935.5,3,3,3,333,9,Loyal Customers,3,1,3.0,336.0,403.0,252.70000000000002,1.339822148529939,257.4916080324761,344.99295950250104,Medium,-177.39999999999998
12414,217.0,6.0,692.41,2,4,3,243,9,Can't Lose Them,0,1,3.0,246.0,464.0,187.47,1.0608606485118952,192.0354930760657,203.72289772197664,Low,-130.0
12415,24.0,28.0,143269.29,4,5,5,455,14,Champions,2,-1,21.0,503.0,528.0,6760.6180952380955,6.4617106911017315,6764.513780772354,43710.33101732172,High,-1296.3099999999977
12416,657.0,1.0,202.56,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,657.0,0.0,0.1653391037320635,470.98914615257866,77.87292329239722,Low,-202.56
12417,3.0,20.0,6708.21,5,5,5,555,15,Champions,1,4,18.0,730.0,734.0,361.0727777777778,4.1588801841956,361.93150954078527,1505.2297830651726,High,-208.89999999999964
12418,113.0,4.0,2016.95,3,3,4,334,10,Loyal Customers,3,1,3.0,518.0,631.0,559.0866666666667,0.900966557939485,564.9403413521868,508.9923547892374,Medium,-339.6899999999998
12419,386.0,2.0,503.01,2,2,2,222,6,Hibernating/Lost,0,3,1.0,28.0,414.0,180.1,0.31560439692383613,193.81492005935678,61.168840960174805,Low,-322.90999999999997
12420,64.0,1.0,600.39,3,1,2,312,6,Potential Loyalists,3,2,0.0,0.0,64.0,0.0,0.8993521048130465,470.98914615257866,423.5850799364212,Medium,-600.39
12421,16.0,6.0,1092.83,5,4,3,543,12,Champions,3,1,5.0,490.0,506.0,204.16,1.740875968010518,206.93016760162442,360.2397558340566,Medium,-72.02999999999997
12422,96.0,17.0,4119.35,3,5,5,355,13,Loyal Customers,1,-1,12.0,626.0,722.0,338.52916666666664,2.7884790609189736,339.79814965814535,947.52002526075,High,-57.00000000000091
12423,1.0,10.0,2612.19,5,5,4,554,14,Champions,1,5,9.0,465.0,466.0,258.1766666666667,3.218786035017466,259.7765003605252,836.1649715861681,Medium,-288.5999999999999
12424,163.0,4.0,3289.78,3,3,5,335,11,Loyal Customers,0,1,2.0,386.0,549.0,1446.7450000000001,0.7197009842023325,1460.1642731382583,1050.881664474688,High,-396.28999999999996
12425,78.0,2.0,1680.81,3,2,4,324,9,Potential Loyalists,3,3,1.0,370.0,449.0,777.2,0.534502311086236,797.1676780791657,426.0879662565627,Medium,-903.6099999999999
12426,195.0,2.0,1311.41,2,2,4,224,8,Hibernating/Lost,0,3,1.0,468.0,663.0,582.73,0.3709099098665105,600.6612120732835,222.79119603041056,Low,-728.6800000000001
12427,22.0,3.0,1011.87,4,3,3,433,10,Loyal Customers,3,0,2.0,350.0,372.0,261.15,1.0451200312592888,268.39390422434616,280.50384557275123,Low,-489.57000000000005
12428,26.0,9.0,7877.2,4,5,5,455,14,Champions,1,1,6.0,258.0,284.0,497.8733333333334,3.3231284928742095,500.68919444957237,1663.8545281496095,High,-4889.959999999999
12429,9.0,8.0,7435.51,5,4,5,545,14,Champions,1,-1,5.0,537.0,547.0,1215.7099999999998,1.626954595547773,1220.581132290855,1985.830082419511,High,-1356.960000000001
12430,43.0,1.0,256.4,4,1,1,411,6,New Customers,3,2,0.0,0.0,44.0,0.0,1.0597190186051295,470.98914615257866,499.1161557344786,Medium,-256.4
12431,36.0,27.0,10719.41,4,5,5,455,14,Champions,1,-1,23.0,658.0,694.0,423.3782608695652,5.517552694951439,424.07831395860194,2339.8744440527466,High,-981.7099999999991
12432,43.0,5.0,5059.32,4,4,5,445,13,Champions,3,1,2.0,130.0,173.0,871.33,1.8692261134998327,881.7521283260764,1648.1941039011576,High,-3316.66
12433,1.0,10.0,20428.86,5,5,5,555,15,Champions,2,-1,7.0,449.0,450.0,2779.31,2.6254898724812885,2785.105626015698,7312.266614894874,High,-973.6900000000023
12434,85.0,3.0,1062.48,3,3,3,333,9,Loyal Customers,3,0,2.0,297.0,382.0,403.07,1.0020724626048632,411.05311816862087,411.9050103846377,Medium,-256.34000000000003
12435,80.0,6.0,13925.93,3,4,5,345,12,Loyal Customers,1,-1,5.0,658.0,738.0,2583.5860000000002,1.2299063989051957,2591.298177395147,3187.054209849662,High,-1008.0
12436,100.0,1.0,509.01,3,1,2,312,6,Potential Loyalists,0,2,0.0,0.0,100.0,0.0,0.7073127495047882,470.98914615257866,333.1366279520929,Medium,-509.01
12437,2.0,39.0,12394.85,5,5,5,555,15,Champions,1,-1,33.0,736.0,738.0,366.8218181818182,7.479066569235619,367.2919007079883,2747.0005757361237,High,-289.7300000000014
12438,14.0,2.0,2906.85,5,2,5,525,12,New Customers,3,-1,1.0,126.0,141.0,2016.78,1.3306532310451482,2049.72840791704,2727.4777287598367,High,-890.0699999999999
12439,683.0,2.0,1104.48,1,2,3,123,6,Hibernating/Lost,0,3,1.0,43.0,726.0,76.52000000000001,0.13795523075138952,89.15024299405482,12.29874234378728,Low,-1027.96
12440,462.0,2.0,768.15,1,2,3,123,6,Hibernating/Lost,0,3,1.0,255.0,718.0,290.69,0.2987014008088428,305.56300498551764,91.27209762453353,Low,-477.46
12441,367.0,1.0,347.1,2,1,2,212,5,Hibernating/Lost,0,2,0.0,0.0,367.0,0.0,0.27481864156018637,470.98914615257866,129.43659733524373,Low,-347.1
12442,3.0,1.0,172.06,5,1,1,511,7,New Customers,3,2,0.0,0.0,4.0,0.0,1.652714350685279,470.98914615257866,778.410520863373,Medium,-172.06
12443,732.0,1.0,485.31,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,733.0,0.0,0.14971720869785526,470.98914615257866,70.51518028895028,Low,-485.31
12444,21.0,5.0,5005.46,4,4,5,445,13,Champions,1,1,4.0,150.0,172.0,783.8149999999999,3.3806187652131334,788.7852018784143,2666.582055192597,High,-1870.2000000000003
12445,22.0,2.0,426.48,4,2,2,422,8,New Customers,3,3,1.0,398.0,421.0,133.4,0.5727062458905077,146.6258833828787,83.97355922258782,Low,-293.08000000000004
12446,58.0,1.0,1002.3100000000001,4,1,3,413,8,New Customers,3,2,0.0,0.0,58.0,0.0,0.9420787360010973,470.98914615257866,443.70885947765737,Medium,-1002.3100000000001
12447,243.0,1.0,476.49,2,1,2,212,5,Hibernating/Lost,0,2,0.0,0.0,244.0,0.0,0.38234906500145155,470.98914615257866,180.08225965727047,Low,-476.49
12448,44.0,1.0,449.45,4,1,2,412,7,New Customers,3,2,0.0,0.0,45.0,0.0,1.0503408506142657,470.98914615257866,494.6991403999862,Medium,-449.45
12449,22.0,6.0,4835.89,4,4,5,445,13,Champions,1,1,5.0,416.0,439.0,831.458,1.966526178749689,835.5310502546074,1643.0936834839074,High,-678.6000000000004
12450,156.0,5.0,666.95,3,4,3,343,10,Loyal Customers,0,1,4.0,318.0,475.0,134.945,1.4150521342307036,138.22971773720278,195.60225709813653,Low,-127.17000000000007
12451,11.0,8.0,12546.53,5,4,5,545,14,Champions,1,-1,6.0,519.0,530.0,1753.1016666666667,1.972422393767153,1758.0893415212777,3467.6947874599164,High,-2027.92
12452,17.0,2.0,428.57,5,2,2,522,9,New Customers,3,3,0.0,0.0,17.0,0.0,1.3976119808794234,470.98914615257866,658.2600735270137,Medium,-428.57
12453,134.0,1.0,707.09,3,1,3,313,7,Potential Loyalists,0,2,0.0,0.0,135.0,0.0,0.5859927140760357,470.98914615257866,275.9962080543042,Low,-707.09
12454,56.0,5.0,4292.71,4,4,5,445,13,Champions,3,1,1.0,1.0,418.0,4098.96,0.22384261463421054,4153.712741686401,929.7779205385193,High,-193.75
12455,73.0,10.0,5879.95,3,5,5,355,13,Loyal Customers,1,1,9.0,648.0,722.0,471.50222222222214,2.150661217379586,473.3479800024802,1018.0111429163019,High,-1636.4300000000003
12456,44.0,3.0,3153.89,4,3,5,435,12,Loyal Customers,3,0,2.0,210.0,255.0,1120.435,1.4056660803601715,1132.1546331850714,1591.431365590867,High,-913.02
12457,66.0,8.0,2472.31,3,4,4,344,11,Loyal Customers,1,1,5.0,354.0,436.0,397.57599999999996,1.938265957244744,400.74788791829906,776.7559885897713,Medium,-484.43000000000006
12458,71.0,4.0,1777.49,3,3,4,334,10,Loyal Customers,3,1,3.0,416.0,488.0,465.6266666666667,1.138115307419458,471.1563691948035,536.2302759687796,Medium,-380.6099999999999
12459,605.0,1.0,454.36,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,606.0,0.0,0.1777894586218378,470.98914615257866,83.7369053112286,Low,-454.36
12460,456.0,1.0,326.65,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,457.0,0.0,0.2279544859007413,470.98914615257866,107.36408867604017,Low,-326.65
12461,94.0,2.0,826.88,3,2,3,323,8,Potential Loyalists,0,3,1.0,60.0,155.0,200.0,1.1514895695398635,213.92331042042562,246.3304606305585,Low,-626.88
12462,19.0,2.0,1124.01,4,2,3,423,9,New Customers,3,3,1.0,285.0,304.0,427.48,0.7515146739671356,443.78545310062344,333.51128009827255,Medium,-696.53
12463,53.0,4.0,1303.63,4,3,4,434,11,Loyal Customers,3,1,3.0,188.0,242.0,331.40333333333336,2.0198853778251484,336.4677606328035,679.6263098117719,Medium,-309.4200000000001
12464,10.0,8.0,1212.05,5,4,4,544,13,Champions,3,1,6.0,299.0,310.0,166.35833333333332,3.1122475804721947,168.60060252820105,524.7268172845479,Medium,-213.9000000000001
12465,17.0,2.0,733.89,5,2,3,523,10,New Customers,3,3,1.0,152.0,170.0,301.25,1.1686707814851907,316.23358801129086,369.5729544330211,Medium,-432.64
12466,682.0,1.0,56.73,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,683.0,0.0,0.15964028714830325,470.98914615257866,75.18884253553182,Low,-56.73
12467,423.0,1.0,0.0,1,1,1,111,3,Hibernating/Lost,0,2,,,,,,,0.0,Low,
12468,188.0,5.0,3624.55,3,4,5,345,12,Loyal Customers,0,1,4.0,495.0,683.0,807.3775,1.0432988117042445,812.4089070814248,847.5852473759945,High,-395.03999999999996
12469,523.0,2.0,3070.54,1,2,5,125,8,Hibernating/Lost,0,3,1.0,14.0,537.0,1113.7,0.172746332891566,1137.1914648379427,196.44565534634282,Low,-1956.84
12470,690.0,1.0,211.95,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,690.0,0.0,0.15817254178903753,470.98914615257866,74.49755040200185,Low,-211.95
12471,2.0,79.0,37948.61,5,5,5,555,15,Champions,2,-1,47.0,730.0,733.0,825.2717021276595,10.661004447376165,825.7028382560881,8802.821630859276,High,839.1599999999962
12472,32.0,19.0,16956.69,4,5,5,455,14,Champions,1,-1,18.0,693.0,726.0,921.8977777777777,4.181440757414018,923.0795859840104,3859.8026031703985,High,-362.52999999999884
12473,29.0,5.0,2848.23,4,4,4,444,12,Champions,3,1,3.0,162.0,192.0,1075.3,2.4315408650635097,1082.9430899141746,2633.2203776644624,High,377.6699999999996
12474,17.0,31.0,11966.45,5,5,5,555,15,Champions,1,6,28.0,649.0,667.0,438.0625,6.961178276987052,438.64293426282654,3053.471665344248,High,299.2999999999993
12475,54.0,2.0,1149.64,4,2,3,423,9,New Customers,3,3,1.0,356.0,410.0,723.38,0.5811595553489685,742.7840816353103,431.6760666034688,Medium,-426.2600000000001
12476,16.0,23.0,13715.62,5,5,5,555,15,Champions,1,-1,16.0,486.0,502.0,804.45125,5.204557846116355,805.7047594295325,4193.337027342263,High,-844.4000000000015
12477,23.0,9.0,20173.64,4,5,5,455,14,Champions,1,-1,8.0,601.0,624.0,2281.8925,2.219884826031159,2286.31753308699,5075.361599188801,High,-1918.5
12478,4.0,1.0,680.99,5,1,3,513,9,New Customers,3,2,0.0,0.0,4.0,0.0,1.652714350685279,470.98914615257866,778.410520863373,Medium,-680.99
12479,11.0,1.0,477.3,5,1,2,512,8,New Customers,3,2,0.0,0.0,12.0,0.0,1.485694288265705,470.98914615257866,699.7458842740274,Medium,-477.3
12480,28.0,7.0,5435.1,4,4,5,445,13,Champions,1,1,6.0,479.0,508.0,835.4916666666667,2.0406513577535392,838.891679777557,1711.8854453462188,High,-422.15000000000055
12481,23.0,15.0,12217.03,4,5,5,455,14,Champions,1,11,12.0,585.0,608.0,782.6491666666667,3.3299441913830696,784.3020289005435,2611.6819854273213,High,-2825.24
12482,576.0,29.0,21893.53,1,5,5,155,11,Can't Lose Them,2,-1,5.0,77.0,654.0,3275.76,0.009524336255085858,3284.9098059185053,31.28658555919667,Low,-5514.729999999998
12483,17.0,19.0,4846.87,5,5,5,555,15,Champions,1,1,16.0,660.0,678.0,300.64875,3.9816061817911956,301.5757302154308,1200.755791703953,High,-36.48999999999978
12484,33.0,12.0,6303.85,4,5,5,455,14,Champions,1,1,11.0,649.0,682.0,527.7136363636364,2.760304812624578,529.2764933624156,1460.9644518373364,High,-499.0
12485,529.0,1.0,708.1,1,1,3,113,5,Hibernating/Lost,0,2,0.0,0.0,530.0,0.0,0.20026608232353524,470.98914615257866,94.32315111688389,Low,-708.1
12486,432.0,1.0,1037.28,1,1,3,113,5,Hibernating/Lost,0,2,0.0,0.0,432.0,0.0,0.2392869734754787,470.98914615257866,112.70156732265045,Low,-1037.28
12487,731.0,1.0,259.79999999999995,1,1,1,111,3,Hibernating/Lost,0,2,0.0,0.0,731.0,0.0,0.15009037186887023,470.98914615257866,70.6909360922422,Low,-259.79999999999995
12488,10.0,3.0,1298.66,5,3,4,534,12,Loyal Customers,3,0,2.0,66.0,76.0,372.635,3.17375777768268,380.4595924048526,1207.4865904888832,High,-553.3900000000001
12489,336.0,1.0,334.93,2,1,2,212,5,Hibernating/Lost,0,2,0.0,0.0,337.0,0.0,0.2950465737286147,470.98914615257866,138.96373383568408,Low,-334.93
12490,5.0,21.0,9818.64,5,5,5,555,15,Champions,1,-1,20.0,733.0,739.0,460.985,4.57687558507142,461.8096121917954,2113.6451389919293,High,-598.9399999999987
12491,39.0,1.0,460.40000000000003,4,1,2,412,7,New Customers,3,2,0.0,0.0,39.0,0.0,1.1092667469559951,470.98914615257866,522.4525980042526,Medium,-460.40000000000003
12492,63.0,3.0,715.21,3,3,3,333,9,Loyal Customers,3,0,2.0,340.0,404.0,131.60500000000002,0.964103128165037,138.17414752753763,133.21412786283634,Low,-452.0
12493,166.0,2.0,416.79,3,2,2,322,7,Potential Loyalists,0,3,1.0,32.0,198.0,201.24,0.8426349040635628,215.17629554845203,181.3150571562227,Low,-215.55
12494,16.0,9.0,1743.52,5,5,4,554,14,Champions,1,1,7.0,561.0,577.0,217.57857142857142,2.1056678299531058,219.57598444006848,462.3540866657359,Medium,-220.47000000000003
12495,641.0,1.0,323.4,1,1,2,112,4,Hibernating/Lost,0,2,0.0,0.0,641.0,0.0,0.16905300937395157,470.98914615257866,79.62213253956132,Low,-323.4
12496,620.0,2.0,54.09,1,2,1,121,4,Hibernating/Lost,0,3,0.0,0.0,621.0,0.0,0.1739370020331218,470.98914615257866,81.92244007191937,Low,-54.09
12497,82.0,3.0,6211.75,3,3,5,335,11,Loyal Customers,3,-1,2.0,563.0,645.0,2518.37,0.6411125607261619,2537.3710103355056,1626.7404259485245,High,-1175.0100000000002
12498,21.0,3.0,403.70000000000005,4,3,2,432,9,Loyal Customers,3,0,1.0,36.0,58.0,156.45,2.1723549741410157,169.91726015788552,369.12060529639564,Medium,-247.25000000000006
