Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_sum,Segment,KMeans_Cluster,DBSCAN_Cluster
12385,379.0,1.0,1923.4,2,1,4,214,7,Hibernating/Lost,0,2
12386,338.0,2.0,660.8,2,2,3,223,7,Hibernating/Lost,0,3
12387,415.0,1.0,143.94,1,1,1,111,3,Hibernating/Lost,0,2
12388,16.0,8.0,3901.11,5,4,5,545,14,Champions,1,1
12389,403.0,3.0,1433.33,2,3,4,234,9,At Risk,0,0
12390,80.0,1.0,549.84,3,1,2,312,6,Potential Loyalists,0,2
12391,22.0,6.0,2747.82,4,4,4,444,12,Champions,3,1
12392,591.0,1.0,234.75000000000003,1,1,1,111,3,Hibernating/Lost,0,2
12393,72.0,6.0,2376.75,3,4,4,344,11,Loyal Customers,3,1
12394,64.0,2.0,1272.48,3,2,4,324,9,Potential Loyalists,3,3
12395,19.0,15.0,5046.92,4,5,5,455,14,Champions,1,1
12396,674.0,1.0,931.43,1,1,3,113,5,Hibernating/Lost,0,2
12397,36.0,2.0,2409.9,4,2,4,424,10,New Customers,3,-1
12398,46.0,1.0,1635.6599999999999,4,1,4,414,9,New Customers,3,2
12399,119.0,7.0,1962.3,3,4,4,344,11,Loyal Customers,3,1
12400,414.0,1.0,205.25,1,1,1,111,3,Hibernating/Lost,0,2
12401,303.0,1.0,84.3,2,1,1,211,4,Hibernating/Lost,0,2
12402,323.0,6.0,1244.15,2,4,4,244,10,Can't Lose Them,0,1
12403,50.0,2.0,1001.36,4,2,3,423,9,New Customers,3,3
12404,682.0,1.0,63.24,1,1,1,111,3,Hibernating/Lost,0,2
12405,149.0,1.0,1710.39,3,1,4,314,8,Potential Loyalists,0,2
12406,22.0,5.0,6072.21,4,4,5,445,13,Champions,1,-1
12407,50.0,5.0,1708.1200000000001,4,4,4,444,12,Champions,3,1
12408,33.0,8.0,4279.64,4,4,5,445,13,Champions,1,1
12409,79.0,7.0,23090.47,3,4,5,345,12,Loyal Customers,1,-1
12410,309.0,3.0,1001.46,2,3,3,233,8,At Risk,0,0
12411,410.0,1.0,346.9,1,1,2,112,4,Hibernating/Lost,0,2
12412,75.0,6.0,2581.03,3,4,4,344,11,Loyal Customers,3,1
12413,67.0,4.0,935.5,3,3,3,333,9,Loyal Customers,3,1
12414,217.0,6.0,692.41,2,4,3,243,9,Can't Lose Them,0,1
12415,24.0,28.0,143269.29,4,5,5,455,14,Champions,2,-1
12416,657.0,1.0,202.56,1,1,1,111,3,Hibernating/Lost,0,2
12417,3.0,20.0,6708.21,5,5,5,555,15,Champions,1,4
12418,113.0,4.0,2016.95,3,3,4,334,10,Loyal Customers,3,1
12419,386.0,2.0,503.01,2,2,2,222,6,Hibernating/Lost,0,3
12420,64.0,1.0,600.39,3,1,2,312,6,Potential Loyalists,3,2
12421,16.0,6.0,1092.83,5,4,3,543,12,Champions,3,1
12422,96.0,17.0,4119.35,3,5,5,355,13,Loyal Customers,1,-1
12423,1.0,10.0,2612.19,5,5,4,554,14,Champions,1,5
12424,163.0,4.0,3289.78,3,3,5,335,11,Loyal Customers,0,1
12425,78.0,2.0,1680.81,3,2,4,324,9,Potential Loyalists,3,3
12426,195.0,2.0,1311.41,2,2,4,224,8,Hibernating/Lost,0,3
12427,22.0,3.0,1011.87,4,3,3,433,10,Loyal Customers,3,0
12428,26.0,9.0,7877.2,4,5,5,455,14,Champions,1,1
12429,9.0,8.0,7435.51,5,4,5,545,14,Champions,1,-1
12430,43.0,1.0,256.4,4,1,1,411,6,New Customers,3,2
12431,36.0,27.0,10719.41,4,5,5,455,14,Champions,1,-1
12432,43.0,5.0,5059.32,4,4,5,445,13,Champions,3,1
12433,1.0,10.0,20428.86,5,5,5,555,15,Champions,2,-1
12434,85.0,3.0,1062.48,3,3,3,333,9,Loyal Customers,3,0
12435,80.0,6.0,13925.93,3,4,5,345,12,Loyal Customers,1,-1
12436,100.0,1.0,509.01,3,1,2,312,6,Potential Loyalists,0,2
12437,2.0,39.0,12394.85,5,5,5,555,15,Champions,1,-1
12438,14.0,2.0,2906.85,5,2,5,525,12,New Customers,3,-1
12439,683.0,2.0,1104.48,1,2,3,123,6,Hibernating/Lost,0,3
12440,462.0,2.0,768.15,1,2,3,123,6,Hibernating/Lost,0,3
12441,367.0,1.0,347.1,2,1,2,212,5,Hibernating/Lost,0,2
12442,3.0,1.0,172.06,5,1,1,511,7,New Customers,3,2
12443,732.0,1.0,485.31,1,1,2,112,4,Hibernating/Lost,0,2
12444,21.0,5.0,5005.46,4,4,5,445,13,Champions,1,1
12445,22.0,2.0,426.48,4,2,2,422,8,New Customers,3,3
12446,58.0,1.0,1002.3100000000001,4,1,3,413,8,New Customers,3,2
12447,243.0,1.0,476.49,2,1,2,212,5,Hibernating/Lost,0,2
12448,44.0,1.0,449.45,4,1,2,412,7,New Customers,3,2
12449,22.0,6.0,4835.89,4,4,5,445,13,Champions,1,1
12450,156.0,5.0,666.95,3,4,3,343,10,Loyal Customers,0,1
12451,11.0,8.0,12546.53,5,4,5,545,14,Champions,1,-1
12452,17.0,2.0,428.57,5,2,2,522,9,New Customers,3,3
12453,134.0,1.0,707.09,3,1,3,313,7,Potential Loyalists,0,2
12454,56.0,5.0,4292.71,4,4,5,445,13,Champions,3,1
12455,73.0,10.0,5879.95,3,5,5,355,13,Loyal Customers,1,1
12456,44.0,3.0,3153.89,4,3,5,435,12,Loyal Customers,3,0
12457,66.0,8.0,2472.31,3,4,4,344,11,Loyal Customers,1,1
12458,71.0,4.0,1777.49,3,3,4,334,10,Loyal Customers,3,1
12459,605.0,1.0,454.36,1,1,2,112,4,Hibernating/Lost,0,2
12460,456.0,1.0,326.65,1,1,2,112,4,Hibernating/Lost,0,2
12461,94.0,2.0,826.88,3,2,3,323,8,Potential Loyalists,0,3
12462,19.0,2.0,1124.01,4,2,3,423,9,New Customers,3,3
12463,53.0,4.0,1303.63,4,3,4,434,11,Loyal Customers,3,1
12464,10.0,8.0,1212.05,5,4,4,544,13,Champions,3,1
12465,17.0,2.0,733.89,5,2,3,523,10,New Customers,3,3
12466,682.0,1.0,56.73,1,1,1,111,3,Hibernating/Lost,0,2
12467,423.0,1.0,0.0,1,1,1,111,3,Hibernating/Lost,0,2
12468,188.0,5.0,3624.55,3,4,5,345,12,Loyal Customers,0,1
12469,523.0,2.0,3070.54,1,2,5,125,8,Hibernating/Lost,0,3
12470,690.0,1.0,211.95,1,1,1,111,3,Hibernating/Lost,0,2
12471,2.0,79.0,37948.61,5,5,5,555,15,Champions,2,-1
12472,32.0,19.0,16956.69,4,5,5,455,14,Champions,1,-1
12473,29.0,5.0,2848.23,4,4,4,444,12,Champions,3,1
12474,17.0,31.0,11966.45,5,5,5,555,15,Champions,1,6
12475,54.0,2.0,1149.64,4,2,3,423,9,New Customers,3,3
12476,16.0,23.0,13715.62,5,5,5,555,15,Champions,1,-1
12477,23.0,9.0,20173.64,4,5,5,455,14,Champions,1,-1
12478,4.0,1.0,680.99,5,1,3,513,9,New Customers,3,2
12479,11.0,1.0,477.3,5,1,2,512,8,New Customers,3,2
12480,28.0,7.0,5435.1,4,4,5,445,13,Champions,1,1
12481,23.0,15.0,12217.03,4,5,5,455,14,Champions,1,11
12482,576.0,29.0,21893.53,1,5,5,155,11,Can't Lose Them,2,-1
12483,17.0,19.0,4846.87,5,5,5,555,15,Champions,1,1
12484,33.0,12.0,6303.85,4,5,5,455,14,Champions,1,1
12485,529.0,1.0,708.1,1,1,3,113,5,Hibernating/Lost,0,2
12486,432.0,1.0,1037.28,1,1,3,113,5,Hibernating/Lost,0,2
12487,731.0,1.0,259.79999999999995,1,1,1,111,3,Hibernating/Lost,0,2
12488,10.0,3.0,1298.66,5,3,4,534,12,Loyal Customers,3,0
12489,336.0,1.0,334.93,2,1,2,212,5,Hibernating/Lost,0,2
12490,5.0,21.0,9818.64,5,5,5,555,15,Champions,1,-1
12491,39.0,1.0,460.40000000000003,4,1,2,412,7,New Customers,3,2
12492,63.0,3.0,715.21,3,3,3,333,9,Loyal Customers,3,0
12493,166.0,2.0,416.79,3,2,2,322,7,Potential Loyalists,0,3
12494,16.0,9.0,1743.52,5,5,4,554,14,Champions,1,1
12495,641.0,1.0,323.4,1,1,2,112,4,Hibernating/Lost,0,2
12496,620.0,2.0,54.09,1,2,1,121,4,Hibernating/Lost,0,3
12497,82.0,3.0,6211.75,3,3,5,335,11,Loyal Customers,3,-1
12498,21.0,3.0,403.70000000000005,4,3,2,432,9,Loyal Customers,3,0
12499,560.0,1.0,393.72,1,1,2,112,4,Hibernating/Lost,0,2
12500,23.0,19.0,5872.31,4,5,5,455,14,Champions,1,1
12501,337.0,1.0,2089.68,2,1,4,214,7,Hibernating/Lost,0,2
12502,96.0,5.0,3723.87,3,4,5,345,12,Loyal Customers,3,1
12503,584.0,1.0,0.0,1,1,1,111,3,Hibernating/Lost,0,2
12504,18.0,4.0,411.0,5,3,2,532,10,Loyal Customers,3,1
12505,409.0,1.0,908.0,2,1,3,213,6,Hibernating/Lost,0,2
12506,233.0,1.0,73.5,2,1,1,211,4,Hibernating/Lost,0,2
12507,134.0,4.0,1797.31,3,3,4,334,10,Loyal Customers,0,1
12508,26.0,2.0,398.27,4,2,2,422,8,New Customers,3,3
12509,284.0,1.0,176.5,2,1,1,211,4,Hibernating/Lost,0,2
12510,143.0,9.0,3689.33,3,5,5,355,13,Loyal Customers,1,1
12511,429.0,1.0,3065.77,1,1,5,115,7,Hibernating/Lost,0,2
12512,66.0,2.0,138.03,3,2,1,321,6,Potential Loyalists,3,3
12513,113.0,1.0,586.79,3,1,2,312,6,Potential Loyalists,0,2
12514,267.0,2.0,1597.76,2,2,4,224,8,Hibernating/Lost,0,3
12515,353.0,1.0,383.7,2,1,2,212,5,Hibernating/Lost,0,2
12516,78.0,4.0,2648.62,3,3,4,334,10,Loyal Customers,3,1
12517,28.0,5.0,2464.89,4,4,4,444,12,Champions,3,1
12518,1.0,5.0,2056.89,5,4,4,544,13,Champions,3,7
12519,64.0,2.0,695.19,3,2,3,323,8,Potential Loyalists,3,3
12520,79.0,5.0,2582.51,3,4,4,344,11,Loyal Customers,3,1
12521,143.0,1.0,599.68,3,1,2,312,6,Potential Loyalists,0,2
12522,39.0,2.0,192.72,4,2,1,421,7,New Customers,3,3
12523,19.0,23.0,4220.85,4,5,5,455,14,Champions,1,1
12524,9.0,17.0,11091.36,5,5,5,555,15,Champions,1,-1
12525,498.0,3.0,835.1800000000001,1,3,3,133,7,At Risk,0,0
12526,1.0,3.0,1316.66,5,3,4,534,12,Loyal Customers,3,8
12527,82.0,5.0,735.51,3,4,3,343,10,Loyal Customers,3,1
12528,9.0,6.0,1922.28,5,4,4,544,13,Champions,3,1
12529,528.0,1.0,311.78000000000003,1,1,2,112,4,Hibernating/Lost,0,2
12530,60.0,9.0,3689.86,3,5,5,355,13,Loyal Customers,1,1
12531,15.0,2.0,1899.05,5,2,4,524,11,New Customers,3,3
12532,30.0,1.0,349.83000000000004,4,1,2,412,7,New Customers,3,2
12533,628.0,2.0,1149.99,1,2,3,123,6,Hibernating/Lost,0,3
12534,131.0,1.0,1089.18,3,1,3,313,7,Potential Loyalists,0,2
12535,92.0,2.0,716.35,3,2,3,323,8,Potential Loyalists,3,3
12536,43.0,3.0,4106.82,4,3,5,435,12,Loyal Customers,3,-1
12537,409.0,1.0,732.94,2,1,3,213,6,Hibernating/Lost,0,2
12538,29.0,2.0,640.45,4,2,3,423,9,New Customers,3,3
12539,22.0,7.0,9498.9,4,4,5,445,13,Champions,1,-1
12540,20.0,33.0,22107.29,4,5,5,455,14,Champions,2,-1
12541,30.0,3.0,981.18,4,3,3,433,10,Loyal Customers,3,0
12542,484.0,2.0,423.38,1,2,2,122,5,Hibernating/Lost,0,3
12543,448.0,1.0,980.25,1,1,3,113,5,Hibernating/Lost,0,2
12544,36.0,1.0,355.7,4,1,2,412,7,New Customers,3,2
12545,75.0,2.0,1000.39,3,2,3,323,8,Potential Loyalists,3,3
12546,47.0,2.0,1141.5,4,2,3,423,9,New Customers,3,3
12547,198.0,3.0,383.58,2,3,2,232,7,At Risk,0,0
12548,166.0,1.0,95.19999999999999,3,1,1,311,5,Potential Loyalists,0,2
12549,576.0,6.0,1575.68,1,4,4,144,9,Can't Lose Them,0,1
12550,79.0,1.0,964.83,3,1,3,313,7,Potential Loyalists,0,2
12551,358.0,1.0,168.0,2,1,1,211,4,Hibernating/Lost,0,2
12552,39.0,2.0,437.82,4,2,2,422,8,New Customers,3,3
12553,8.0,12.0,4548.82,5,5,5,555,15,Champions,1,1
12554,449.0,1.0,468.5,1,1,2,112,4,Hibernating/Lost,0,2
12555,682.0,1.0,129.23,1,1,1,111,3,Hibernating/Lost,0,2
12556,50.0,2.0,603.71,4,2,3,423,9,New Customers,3,3
12557,16.0,8.0,18716.14,5,4,5,545,14,Champions,1,-1
12558,8.0,1.0,1.0658141036401503e-14,5,1,1,511,7,New Customers,3,2
12559,311.0,2.0,536.21,2,2,2,222,6,Hibernating/Lost,0,3
12560,5.0,3.0,2101.39,5,3,4,534,12,Loyal Customers,3,0
12561,303.0,1.0,238.85,2,1,1,211,4,Hibernating/Lost,0,2
12562,8.0,9.0,4966.92,5,5,5,555,15,Champions,1,1
12563,409.0,1.0,249.24,2,1,1,211,4,Hibernating/Lost,0,2
12564,261.0,1.0,456.9,2,1,2,212,5,Hibernating/Lost,0,2
12565,289.0,1.0,131.17,2,1,1,211,4,Hibernating/Lost,0,2
12566,86.0,1.0,346.7,3,1,2,312,6,Potential Loyalists,0,2
12567,23.0,15.0,13393.82,4,5,5,455,14,Champions,1,-1
12568,645.0,1.0,70.0,1,1,1,111,3,Hibernating/Lost,0,2
12569,2.0,32.0,4064.9900000000002,5,5,5,555,15,Champions,1,-1
12570,682.0,1.0,77.52,1,1,1,111,3,Hibernating/Lost,0,2
12571,40.0,2.0,519.61,4,2,2,422,8,New Customers,3,3
12572,9.0,2.0,1004.72,5,2,3,523,10,New Customers,3,3
12573,227.0,5.0,717.41,2,4,3,243,9,Can't Lose Them,0,1
12574,316.0,1.0,218.45,2,1,1,211,4,Hibernating/Lost,0,2
12575,457.0,2.0,622.8199999999999,1,2,3,123,6,Hibernating/Lost,0,3
12576,36.0,8.0,2083.87,4,4,4,444,12,Champions,1,1
12577,35.0,8.0,1591.35,4,4,4,444,12,Champions,3,1
12578,21.0,4.0,4572.45,4,3,5,435,12,Loyal Customers,3,1
12579,78.0,1.0,410.72,3,1,2,312,6,Potential Loyalists,0,2
12580,247.0,2.0,1052.9,2,2,3,223,7,Hibernating/Lost,0,3
12581,40.0,1.0,197.71,4,1,1,411,6,New Customers,3,2
12582,239.0,4.0,1980.4,2,3,4,234,9,At Risk,0,1
12583,3.0,27.0,14344.9,5,5,5,555,15,Champions,1,-1
12584,4.0,9.0,1893.95,5,5,4,554,14,Champions,1,1
12585,234.0,2.0,1982.81,2,2,4,224,8,Hibernating/Lost,0,3
12586,17.0,4.0,2028.67,5,3,4,534,12,Loyal Customers,3,1
12587,8.0,1.0,144.0,5,1,1,511,7,New Customers,3,2
12588,39.0,4.0,938.98,4,3,3,433,10,Loyal Customers,3,1
12589,29.0,8.0,3094.17,4,4,5,445,13,Champions,1,1
12590,211.0,2.0,9853.48,2,2,5,225,9,Hibernating/Lost,0,-1
12591,317.0,3.0,1352.15,2,3,4,234,9,At Risk,0,0
12592,92.0,5.0,1152.62,3,4,3,343,10,Loyal Customers,3,1
12593,109.0,3.0,418.09999999999997,3,3,2,332,8,Loyal Customers,0,0
12594,38.0,15.0,5044.51,4,5,5,455,14,Champions,1,1
12595,505.0,1.0,299.02,1,1,2,112,4,Hibernating/Lost,0,2
12596,51.0,2.0,618.27,4,2,3,423,9,New Customers,3,3
12597,19.0,4.0,3683.13,4,3,5,435,12,Loyal Customers,3,1
12598,10.0,11.0,4414.67,5,5,5,555,15,Champions,1,1
12599,29.0,13.0,2296.72,4,5,4,454,13,Champions,1,1
12600,29.0,21.0,4955.79,4,5,5,455,14,Champions,1,1
12601,190.0,6.0,673.76,2,4,3,243,9,Can't Lose Them,0,1
12602,59.0,1.0,153.12,3,1,1,311,5,Potential Loyalists,3,2
12603,22.0,1.0,739.1999999999999,4,1,3,413,8,New Customers,3,2
12604,79.0,2.0,254.18,3,2,1,321,6,Potential Loyalists,3,3
12605,376.0,4.0,1217.95,2,3,4,234,9,At Risk,0,1
12606,682.0,1.0,21.0,1,1,1,111,3,Hibernating/Lost,0,2
12607,60.0,1.0,3.552713678800501e-15,3,1,1,311,5,Potential Loyalists,3,2
12608,405.0,1.0,415.79,2,1,2,212,5,Hibernating/Lost,0,2
12609,78.0,9.0,3417.86,3,5,5,355,13,Loyal Customers,1,1
12610,23.0,5.0,2057.99,4,4,4,444,12,Champions,3,1
12611,52.0,1.0,1193.32,4,1,3,413,8,New Customers,3,2
12612,74.0,1.0,643.59,3,1,3,313,7,Potential Loyalists,0,2
12613,57.0,10.0,6591.52,4,5,5,455,14,Champions,1,1
12614,278.0,1.0,315.6,2,1,2,212,5,Hibernating/Lost,0,2
12615,2.0,8.0,5564.88,5,4,5,545,14,Champions,1,-1
12616,95.0,3.0,1045.35,3,3,3,333,9,Loyal Customers,3,0
12617,29.0,1.0,355.53,4,1,2,412,7,New Customers,3,2
12618,22.0,1.0,177.31,4,1,1,411,6,New Customers,3,2
12619,16.0,10.0,3354.95,5,5,5,555,15,Champions,1,1
12620,15.0,3.0,1339.41,5,3,4,534,12,Loyal Customers,3,0
12621,2.0,35.0,24579.31,5,5,5,555,15,Champions,2,-1
12622,232.0,1.0,180.1,2,1,1,211,4,Hibernating/Lost,0,2
12623,276.0,7.0,3639.84,2,4,5,245,11,Can't Lose Them,0,1
12624,106.0,2.0,641.13,3,2,3,323,8,Potential Loyalists,0,3
12625,212.0,4.0,5095.38,2,3,5,235,10,At Risk,0,-1
12626,23.0,9.0,6388.35,4,5,5,455,14,Champions,1,1
12627,11.0,7.0,4478.53,5,4,5,545,14,Champions,1,1
12628,4.0,3.0,769.61,5,3,3,533,11,Loyal Customers,3,0
12629,386.0,2.0,1558.22,2,2,4,224,8,Hibernating/Lost,0,3
12630,10.0,2.0,1270.88,5,2,4,524,11,New Customers,3,3
12631,57.0,6.0,3452.27,4,4,5,445,13,Champions,3,1
12632,521.0,2.0,738.88,1,2,3,123,6,Hibernating/Lost,0,3
12633,59.0,7.0,5595.21,3,4,5,345,12,Loyal Customers,1,1
12634,536.0,2.0,490.0,1,2,2,122,5,Hibernating/Lost,0,3
12635,90.0,4.0,2930.41,3,3,5,335,11,Loyal Customers,3,1
12636,739.0,1.0,141.0,1,1,1,111,3,Hibernating/Lost,0,2
12637,67.0,12.0,8271.66,3,5,5,355,13,Loyal Customers,1,-1
12638,33.0,2.0,921.49,4,2,3,423,9,New Customers,3,3
12639,239.0,3.0,1312.37,2,3,4,234,9,At Risk,0,0
12640,24.0,3.0,1174.58,4,3,3,433,10,Loyal Customers,3,0
12641,115.0,1.0,185.9,3,1,1,311,5,Potential Loyalists,0,2
12642,25.0,3.0,1013.26,4,3,3,433,10,Loyal Customers,3,0
12643,128.0,12.0,7880.9,3,5,5,355,13,Loyal Customers,1,-1
12644,130.0,4.0,1815.54,3,3,4,334,10,Loyal Customers,0,1
12645,34.0,8.0,3499.1,4,4,5,445,13,Champions,1,1
12646,5.0,2.0,1346.97,5,2,4,524,11,New Customers,3,3
12647,22.0,36.0,17682.79,4,5,5,455,14,Champions,2,-1
12648,155.0,4.0,1097.0,3,3,3,333,9,Loyal Customers,0,1
12649,107.0,8.0,2238.7,3,4,4,344,11,Loyal Customers,3,1
12650,3.0,1.0,314.44,5,1,2,512,8,New Customers,3,2
12651,335.0,4.0,365.3,2,3,2,232,7,At Risk,0,1
12652,331.0,2.0,1011.58,2,2,3,223,7,Hibernating/Lost,0,3
12653,149.0,3.0,4160.83,3,3,5,335,11,Loyal Customers,0,-1
12654,11.0,5.0,601.98,5,4,3,543,12,Champions,3,1
12655,424.0,1.0,261.35,1,1,1,111,3,Hibernating/Lost,0,2
12656,17.0,8.0,6320.78,5,4,5,545,14,Champions,1,1
12657,11.0,4.0,1152.06,5,3,3,533,11,Loyal Customers,3,1
12658,19.0,1.0,686.05,4,1,3,413,8,New Customers,3,2
12659,30.0,1.0,91.68,4,1,1,411,6,New Customers,3,2
12660,11.0,1.0,245.1,5,1,1,511,7,New Customers,3,2
12661,436.0,1.0,162.0,1,1,1,111,3,Hibernating/Lost,0,2
12662,1.0,20.0,6949.17,5,5,5,555,15,Champions,1,9
12663,625.0,2.0,204.0,1,2,1,121,4,Hibernating/Lost,0,3
12664,8.0,11.0,6052.04,5,5,5,555,15,Champions,1,1
12665,325.0,3.0,301.45,2,3,2,232,7,At Risk,0,0
12666,394.0,1.0,1020.98,2,1,3,213,6,Hibernating/Lost,0,2
12667,58.0,1.0,620.13,4,1,3,413,8,New Customers,3,2
12668,12.0,10.0,11380.710000000001,5,5,5,555,15,Champions,1,-1
12669,151.0,3.0,1607.73,3,3,4,334,10,Loyal Customers,0,0
12670,10.0,7.0,3750.39,5,4,5,545,14,Champions,1,1
12671,606.0,1.0,2622.481,1,1,4,114,6,Hibernating/Lost,0,2
12672,330.0,2.0,410.5,2,2,2,222,6,Hibernating/Lost,0,3
12673,5.0,3.0,1230.02,5,3,4,534,12,Loyal Customers,3,0
12674,39.0,4.0,1919.31,4,3,4,434,11,Loyal Customers,3,1
12675,554.0,2.0,934.8,1,2,3,123,6,Hibernating/Lost,0,3
12676,25.0,11.0,2773.09,4,5,4,454,13,Champions,1,1
12677,555.0,2.0,389.3,1,2,2,122,5,Hibernating/Lost,0,3
12678,42.0,21.0,33851.13,4,5,5,455,14,Champions,2,-1
12679,59.0,4.0,1058.67,3,3,3,333,9,Loyal Customers,3,1
12680,1.0,4.0,880.81,5,3,3,533,11,Loyal Customers,3,7
12681,15.0,45.0,30551.76,5,5,5,555,15,Champions,2,-1
12682,4.0,52.0,23945.81,5,5,5,555,15,Champions,2,-1
12683,4.0,21.0,12418.6,5,5,5,555,15,Champions,1,-1
12684,8.0,7.0,2283.63,5,4,4,544,13,Champions,1,1
12685,28.0,6.0,2863.08,4,4,4,444,12,Champions,3,1
12686,372.0,1.0,178.28,2,1,1,211,4,Hibernating/Lost,0,2
12687,481.0,2.0,2138.91,1,2,4,124,7,Hibernating/Lost,0,3
12688,114.0,1.0,4873.8099999999995,3,1,5,315,9,Potential Loyalists,0,-1
12689,26.0,2.0,1247.61,4,2,4,424,10,New Customers,3,3
12690,206.0,1.0,389.01,2,1,2,212,5,Hibernating/Lost,0,2
12691,28.0,7.0,1170.4,4,4,3,443,11,Champions,3,1
12692,637.0,1.0,110.95,1,1,1,111,3,Hibernating/Lost,0,2
12693,127.0,7.0,1640.42,3,4,4,344,11,Loyal Customers,3,1
12694,70.0,3.0,1839.45,3,3,4,334,10,Loyal Customers,3,0
12695,7.0,7.0,1407.1200000000001,5,4,4,544,13,Champions,3,1
12696,435.0,2.0,801.15,1,2,3,123,6,Hibernating/Lost,0,3
12697,29.0,3.0,939.02,4,3,3,433,10,Loyal Customers,3,0
12698,590.0,1.0,339.75,1,1,2,112,4,Hibernating/Lost,0,2
12699,418.0,1.0,638.11,1,1,3,113,5,Hibernating/Lost,0,2
12700,8.0,4.0,4867.99,5,3,5,535,13,Loyal Customers,3,-1
12701,80.0,6.0,2446.41,3,4,4,344,11,Loyal Customers,3,1
12702,20.0,1.0,219.0,4,1,1,411,6,New Customers,3,2
12703,71.0,4.0,892.18,3,3,3,333,9,Loyal Customers,3,1
12704,7.0,8.0,2220.84,5,4,4,544,13,Champions,1,1
12705,15.0,14.0,11554.0,5,5,5,555,15,Champions,1,11
12707,292.0,1.0,603.42,2,1,3,213,6,Hibernating/Lost,0,2
12708,30.0,18.0,5118.16,4,5,5,455,14,Champions,1,1
12709,15.0,34.0,30312.61,5,5,5,555,15,Champions,2,-1
12710,97.0,3.0,1130.57,3,3,3,333,9,Loyal Customers,3,0
12711,612.0,2.0,1339.05,1,2,4,124,7,Hibernating/Lost,0,3
12712,29.0,21.0,6979.66,4,5,5,455,14,Champions,1,1
12713,1.0,1.0,848.55,5,1,3,513,9,New Customers,3,-1
12714,9.0,12.0,14093.71,5,5,5,555,15,Champions,1,-1
12715,106.0,1.0,353.86,3,1,2,312,6,Potential Loyalists,0,2
12716,4.0,2.0,1053.49,5,2,3,523,10,New Customers,3,3
12717,151.0,3.0,1258.91,3,3,4,334,10,Loyal Customers,0,0
12718,71.0,1.0,238.25,3,1,1,311,5,Potential Loyalists,3,2
12719,5.0,2.0,608.1,5,2,3,523,10,New Customers,3,3
12720,3.0,30.0,8047.88,5,5,5,555,15,Champions,1,4
12721,32.0,8.0,3906.68,4,4,5,445,13,Champions,1,1
